0	123.000000
1	86.454755
2	71.160168
3	64.759197
4	62.080283
5	60.959073
6	60.489766
7	60.293281
8	60.210967
9	60.176432
10	60.161891
11	60.155714
12	60.153039
13	60.151827
14	60.151227
15	60.150883
16	60.150647
17	60.150455
18	60.150281
19	60.150116
20	60.149953
21	60.149792
22	60.149631
23	60.149471
24	60.149311
25	60.149151
26	60.148991
27	60.148831
28	60.148670
29	60.148510
30	60.148350
31	60.148190
32	60.148030
33	60.147870
34	60.147711
35	60.147551
36	60.147391
37	60.147231
38	60.147071
39	60.146911
40	60.146751
41	60.146592
42	60.146432
43	60.146272
44	60.146113
45	60.145953
46	60.145793
47	60.145634
48	60.145474
49	60.145314
50	60.145155
51	60.144995
52	60.144836
53	60.144676
54	60.144517
55	60.144357
56	60.144198
57	60.144039
58	60.143879
59	60.143720
60	60.143561
61	60.143401
62	60.143242
63	60.143083
64	60.142924
65	60.142764
66	60.142605
67	60.142446
68	60.142287
69	60.142128
70	60.141969
71	60.141810
72	60.141651
73	60.141492
74	60.141333
75	60.141174
76	60.141015
77	60.140856
78	60.140697
79	60.140538
80	60.140379
81	60.140220
82	60.140062
83	60.139903
84	60.139744
85	60.139585
86	60.139427
87	60.139268
88	60.139109
89	60.138951
90	60.138792
91	60.138634
92	60.138475
93	60.138316
94	60.138158
95	60.137999
96	60.137841
97	60.137683
98	60.137524
99	60.137366
100	60.137207
101	60.137049
102	60.136891
103	60.136732
104	60.136574
105	60.136416
106	60.136258
107	60.136099
108	60.135941
109	60.135783
110	60.135625
111	60.135467
112	60.135309
113	60.135151
114	60.134993
115	60.134835
116	60.134677
117	60.134519
118	60.134361
119	60.134203
120	60.134045
121	60.133887
122	60.133729
123	60.133572
124	60.133415
125	60.133258
126	60.133101
127	60.132944
128	60.132787
129	60.132630
130	60.132473
131	60.132317
132	60.132160
133	60.132003
134	60.131846
135	60.131690
136	60.131533
137	60.131376
138	60.131220
139	60.131063
140	60.130906
141	60.130750
142	60.130593
143	60.130437
144	60.130280
145	60.130124
146	60.129967
147	60.129811
148	60.129654
149	60.129498
150	60.129342
151	60.129185
152	60.129029
153	60.128873
154	60.128716
155	60.128560
156	60.128404
157	60.128248
158	60.128092
159	60.127935
160	60.127779
161	60.127623
162	60.127467
163	60.127311
164	60.127155
165	60.126999
166	60.126843
167	60.126687
168	60.126531
169	60.126375
170	60.126219
171	60.126063
172	60.125907
173	60.125752
174	60.125596
175	60.125440
176	60.125284
177	60.125129
178	60.124973
179	60.124817
180	60.124661
181	60.124506
182	60.124350
183	60.124195
184	60.124039
185	60.123883
186	60.123728
187	60.123572
188	60.123417
189	60.123261
190	60.123106
191	60.122951
192	60.122795
193	60.122640
194	60.122485
195	60.122329
196	60.122174
197	60.122019
198	60.121863
199	60.121708
